X;Y;Z
597528.5628;135109.3984;2513.312537
597592.8806;135109.3984;2495.827118
597657.1983;135109.3984;2485.400835
597721.5161;135109.3984;2470.652921
597785.8338;135109.3984;2453.104135
597850.1516;135109.3984;2434.712779
597914.4693;135109.3984;2417.862589
597978.7871;135109.3984;2405.131499
598043.1048;135109.3984;2396.23559
598107.4226;135109.3984;2388.399173
598171.7403;135109.3984;2381.097741
598236.0581;135109.3984;2370.910947
598300.3758;135109.3984;2356.972456
598364.6936;135109.3984;2346.088314
598429.0113;135109.3984;2339.736698
598493.3291;135109.3984;2344.588823
598557.6468;135109.3984;2342.855739
598621.9646;135109.3984;2344.637586
598686.2823;135109.3984;2351.197214
598750.6001;135109.3984;2363.518276
598814.9178;135109.3984;2373.498055
598879.2356;135109.3984;2385.037291
598943.5533;135109.3984;2386.94357
599007.8711;135109.3984;2398.384459
599072.1888;135109.3984;2420.941721
599136.5066;135109.3984;2449.949173
599200.8243;135109.3984;2474.751609
599265.1421;135109.3984;2492.959836
599329.4598;135109.3984;2502.421183
599393.7775;135109.3984;2513.022035
599458.0953;135109.3984;2524.449597
599522.413;135109.3984;2529.450039
599586.7308;135109.3984;2540.863581
599651.0485;135109.3984;2552.092724
599715.3663;135109.3984;2570.272571
599779.684;135109.3984;2600.578987
599844.0018;135109.3984;2631.181393
599908.3195;135109.3984;2668.154695
599972.6373;135109.3984;2697.393585
600036.955;135109.3984;2705.16363
600101.2728;135109.3984;2702.814093
600165.5905;135109.3984;2704.864896
600229.9083;135109.3984;2704.056031
600294.226;135109.3984;2694.221945
600358.5438;135109.3984;2672.629452
600422.8615;135109.3984;2651.875925
600487.1793;135109.3984;2633.811953
600551.497;135109.3984;2619.542347
600615.8148;135109.3984;2607.903081
600680.1325;135109.3984;2599.586226
600744.4503;135109.3984;2599.573365
600808.768;135109.3984;2600.376059
600873.0858;135109.3984;2599.16671
600937.4035;135109.3984;2578.292628
601001.7213;135109.3984;2556.314379
601066.039;135109.3984;2535.26332
601130.3568;135109.3984;2515.795933
601194.6745;135109.3984;2501.579724
601258.9923;135109.3984;2498.104711
601323.31;135109.3984;2498.857715
601387.6278;135109.3984;2500.680069
601451.9455;135109.3984;2509.96457
601516.2632;135109.3984;2523.201352
601580.581;135109.3984;2538.692397
601644.8987;135109.3984;2554.604942
601709.2165;135109.3984;2568.684064
601773.5342;135109.3984;2577.46633
601837.852;135109.3984;2576.801703
601902.1697;135109.3984;2565.211765
601966.4875;135109.3984;2544.675746
602030.8052;135109.3984;2519.626295
602095.123;135109.3984;2498.850258
602159.4407;135109.3984;2492.006434
602223.7585;135109.3984;2491.3088
602288.0762;135109.3984;2492.28556
602352.394;135109.3984;2493.41741
602416.7117;135109.3984;2493.510301
602481.0295;135109.3984;2493.157818
602545.3472;135109.3984;2493.087251
602609.665;135109.3984;2493.057665
602673.9827;135109.3984;2494.405108
602738.3005;135109.3984;2499.060763
602802.6182;135109.3984;2501.94665
602866.936;135109.3984;2507.981219
602931.2537;135109.3984;2529.19228
602995.5715;135109.3984;2557.735742
603059.8892;135109.3984;2587.930435
603124.207;135109.3984;2614.360526
603188.5247;135109.3984;2640.696394
603252.8425;135109.3984;2672.663948
603317.1602;135109.3984;2719.383058
603381.478;135109.3984;2777.043008
603445.7957;135109.3984;2803.948894
603510.1135;135109.3984;2806.849658
603574.4312;135109.3984;2804.366227
597206.9741;135045.1142;2603.640491
597271.2918;135045.1142;2593.198815
597335.6096;135045.1142;2575.844898
597399.9273;135045.1142;2554.909831
597464.2451;135045.1142;2530.369042
597528.5628;135045.1142;2509.27071
597592.8806;135045.1142;2499.102687
597657.1983;135045.1142;2491.695693
597721.5161;135045.1142;2473.200061
597785.8338;135045.1142;2452.568789
597850.1516;135045.1142;2432.729177
597914.4693;135045.1142;2418.936372
597978.7871;135045.1142;2404.295538
598043.1048;135045.1142;2393.694482
598107.4226;135045.1142;2378.405961
